PuntoConteo,Dia,Liviano,Autobuses,C23E,C4E,C5E
500,01/01/2015,11069,68,110,246,229
500,01/01/2016,16076,106,169,395,468
500,01/01/2017,16567,79,153,337,433
500,01/01/2018,15330,77,126,314,405
500,01/01/2019,14157,108,162,447,510
500,01/01/2020,4708,17,44,115,125
500,01/02/2015,30701,156,330,758,499
500,01/02/2016,32613,304,450,908,968
500,01/02/2017,36436,328,429,944,1090
500,01/02/2018,36200,336,454,792,1156
500,01/02/2019,36542,400,432,847,1214
500,01/03/2015,27494,189,288,712,489
500,01/03/2016,35986,336,416,957,1067
500,01/03/2017,37038,401,530,881,1218
500,01/03/2018,36814,350,441,856,1098
500,01/03/2019,36881,390,456,889,1195
500,01/04/2015,29563,293,450,1018,973
500,01/04/2016,37655,348,457,931,1062
500,01/04/2017,35607,311,419,881,1055
500,01/04/2018,24566,154,260,490,664
500,01/04/2019,32815,359,434,770,1058
500,01/05/2015,30139,266,330,875,638
500,01/05/2016,27737,154,236,591,602
500,01/05/2017,22048,189,283,617,746
500,01/05/2018,23090,221,337,657,804
500,01/05/2019,26247,220,311,689,838
500,01/06/2015,32734,227,323,933,773
500,01/06/2016,37099,345,409,840,1087
500,01/06/2017,35490,309,430,827,1104
500,01/06/2018,33449,440,521,758,1070
500,01/06/2019,34669,298,411,851,1059
500,01/07/2015,36839,331,431,975,945
500,01/07/2016,38843,351,463,900,1077
500,01/07/2017,32653,232,349,853,1046
500,01/07/2018,26041,165,228,576,632
500,01/07/2019,31049,265,320,806,1080
500,01/08/2015,33752,274,399,973,915
500,01/08/2016,31198,238,346,886,948
500,01/08/2017,32655,281,340,830,1052
500,01/08/2018,33229,307,487,835,1164
500,01/08/2019,38248,286,565,941,1030
500,01/09/2015,34441,340,449,972,922
500,01/09/2016,36775,339,419,953,1078
500,01/09/2017,37651,377,444,865,1116
500,01/09/2018,31325,240,394,826,1061
500,01/09/2019,26106,140,250,571,711
500,01/10/2015,35519,309,421,938,1000
500,01/10/2016,33494,221,427,844,1014
500,01/10/2017,25383,133,224,581,643
500,01/10/2018,22920,213,196,377,612
500,01/10/2019,22820,213,196,377,612
500,01/11/2015,29910,167,300,652,560
500,01/11/2016,35175,356,409,864,1116
500,01/11/2017,35897,395,425,826,1151
500,01/11/2018,13738,24116,346,519,931
500,01/11/2019,35630,377,403,813,1141
500,01/12/2015,35646,328,467,968,1054
500,01/12/2016,35900,375,459,809,1062
500,01/12/2017,35431,549,648,736,1127
500,01/12/2018,25764,11318,448,741,980
500,01/12/2019,35536,549,648,736,1127
500,02/01/2015,20521,178,322,640,571
500,02/01/2016,18199,130,216,563,622
500,02/01/2017,24181,227,313,660,931
500,02/01/2018,24535,237,319,681,922
500,02/01/2019,20795,212,240,643,911
500,02/02/2015,35254,321,416,961,866
500,02/02/2016,35936,307,428,1008,1043
500,02/02/2017,36680,335,432,945,1127
500,02/02/2018,35154,366,432,765,1180
500,02/02/2019,32149,252,360,855,1105
500,02/03/2015,34732,234,404,923,895
500,02/03/2016,36314,358,457,927,1047
500,02/03/2017,37217,364,479,930,1172
500,02/03/2018,36754,410,507,826,1136
500,02/03/2019,34551,288,402,851,1087
500,02/04/2015,19576,168,219,516,533
